,,,,,,,,,
,,,Rivian R2 Reservations Tracker Form  <-- Link to submit your order info.                        ,,,,,,
,,,"* After submitting order info, please post a reply in this thread to notify us.",,,,,,
,,,Rivian R2 Reservations Change Request Form  <-- Link to submit edit request for your submitted order info.,,,,,,
,,,,,,,,,
,#,Username,R2 reservation date,Location,,Are you a current Rivian R1 owner?,"If you are a current R1 owner, will you be keeping your R1 and adding an R2?","If you are a current R1 owner, which model?",Other vehicles currently owned
,280,FamilyTruckster,3/7/2024,TX,,No,,,Hyundai Santa Fe Sport 2.0T
,281,zor,3/7/2024,CA,,Yes,Yes,R1S,Tesla Y
,282,THEDOCDM,3/7/2024,CA,,Yes,Yes,R1T,2016 Tesla Model S P100D
,283,100Million,3/7/2024,OR,,Yes,Yes,R1S,
,284,kcmwv,3/7/2024,WV,,Yes,Yes,Both,
,285,Mahawkma,3/7/2024,NE,,Yes,Undecided,R1S,Suburau Crosstrek
,286,m42hvac,3/7/2024,MD,,No,Undecided,,Polestar 2
,287,countab45,3/7/2024,CA,,Yes,Yes,R1T,
,288,Scottm ,3/7/2024,OR,,Yes,Yes,R1T,"4Runner, Tesla model Y"
,289,NorCalChris,3/7/2024,CA,,Yes,Yes,R1S,Tesla Model 3
,290,mastersmith043,3/7/2024,CO,,No,,,Tesla Model 3
,291,billtolar,3/7/2024,FL,,No,,,Tesla MY Honda CRV
,292,JWortman,3/7/2024,OH,,Yes,No,R1T,
,293,m3ster,3/7/2024,UT,,Yes,Yes,R1T,"Jeep Grand Cherokee L, Honda Accord"
,294,Speedmonkee,3/7/2024,CA,,Yes,Undecided,R1T,"EV6, 135i, GTI, R1T, Accord V6"
,295,aaronincolorado,3/7/0024,CO,,No,,Both,"Model S, Diesel Gladiator, Newmar Dutch Star"
,296,ausmjo,3/7/2024,WA,,Yes,Undecided,R1T,R1T #2
,297,tsylviaNH,3/7/2024,CA,,Yes,Yes,R1T,Mini Cooper Electric
,298,Get me out of this minivan,3/7/2024,OH,,No,,,"Subaru Ascent, Chrysler Town and Country"
,299,Pntbllarea51,3/7/2024,IL,,Yes,Yes,R1S,
,300,mcclajb,3/7/2024,MS,,Yes,Yes,R1S,2021 Tesla Model 3
